id,type,decoration
JAPANESE PRINTS,red,box
SYNTHETISM,black,arc
FAUVISM,black,arc
Van Gogh,black,arc
Cezanne,black,arc
CUBISM,black,arc
NEO-IMPRESSIONISM,black,arc
FUTURISM,black,arc
Rousseau,black,arc
Redon,black,arc
(ABSTRACT) EXPRESSIONISM,black,arc
(ABSTRACT) SURREALISM,black,arc
NEAR-EASTERN ART,red,box
NEGRO SCULPTURE,red,box
ORPHISM,black,arc
(ABSTRACT) DADAISM,black,arc
PURISM,black,arc
DE STIJL and NEOPLASTICISM,black,arc
SUPREMATISM,black,arc
CONSTRUCTIVISM,black,arc
MACHINE ESTHETIC,red,box
Brancusi,black,arc
MODERN ARCHITECTURE,black,box
BAUHAUS,black,arc
NON-GEOMETRICAL ABSTRACT ART,black,arc
GEOMETRICAL ABSTRACT ART,black,arc
